id;age;weight;height;sex
390;79,86;20,9;115,15;M
391;88,37;20,6;113,65;M
392;87,09;22,1;117,75;M
393;86,04;25,9;127,5;M
394;82,82;23,4;121,5;M
395;89,13;22,8;119,35;F
396;85,15;20,7;114;M
397;84,66;20;112,1;M
398;81,86;23,6;122;M
399;88,96;26,1;127,6;M
400;83,9;22,5;118,8;F
401;84,62;23,3;120,8;F
402;88,87;22,5;118,35;F
403;87,09;24,8;124,3;M
404;88,77;25,4;125,5;F
405;80,75;26,6;129;F
406;88,08;24,2;122,3;F
407;79,43;23;120;M
408;79,79;24,2;123;M
409;81,8;19,8;111,1;M
410;84,07;23,3;120,25;M
411;78,71;22,2;117,7;M
412;83,84;26,1;127;F
413;81,63;23;119,3;M
414;87,58;26;126;F
415;85,38;24;121,1;F
416;89,88;25,6;124,9;M
417;79,86;26,1;127;M
418;78,87;20,3;111,7;F
419;83,38;23,8;120,85;M
420;81,7;23,4;119,45;F
421;88,8;26,1;125,75;M
422;82,19;24,5;122;F
423;83,24;27,2;128,35;M
424;79,86;23,4;119,2;M
425;81,01;24,6;122;M
426;82,75;26;124,6;F
427;78,64;25,8;125;M
428;81,53;26;124,6;F
429;82,16;31,7;138;M
430;82,92;25,2;122,4;F
431;89,46;28,7;130,45;M
432;82,49;21;111,45;F
433;82,95;22,5;115,95;M
434;82,42;24,5;120;F
435;80,52;25,5;122,6;F
436;89,82;24,1;117,75;F
437;83,57;26;122,9;F
438;89,79;24,2;118,5;M
439;79,23;24,6;120,5;M
440;86,1;26,8;124,45;M
441;81,3;26,7;123,75;F
442;83,87;24,4;119;M
443;89,13;31,6;134,35;M
444;81,07;25,2;119,55;F
445;80,05;29,1;128,45;F
446;81,24;23,8;116,95;M
447;89,19;29;128;M
448;88,7;31,5;133,35;M
449;83,61;35,4;141,9;M
450;87,48;33,3;136,7;M
451;80,02;22,9;114,1;M
452;89,19;29,6;128,5;M
453;87,06;29;127,45;M
454;80,98;27;122,5;M
455;81,17;29,3;127,3;M
456;86,27;28,8;125,5;M
457;88,08;33,2;132,4;F
458;87,06;27,7;122,55;M
459;78,77;26,7;121,45;M
460;84,23;31,3;128,4;F
461;80,45;28,5;122,65;F
462;89,42;28,3;122,55;M
463;89,75;32,2;128,35;F
464;88,14;27,8;121,55;M
465;86,3;30,9;127,95;M
466;86,93;28;119,45;F
467;79,79;27;120,4;M
468;89,62;33,8;129,4;F
469;88,67;34,2;130;F
470;78,48;27,4;118;F
471;88,37;29,9;124;M
472;79,4;35,7;133,7;F
473;86,79;37,7;135,5;F
474;83,01;32,1;127,55;M
475;80,94;30,5;121,85;F
476;86,63;32;126,5;M
477;79,69;32,4;125;F
478;86,66;34,5;130,7;M
479;82,42;30,6;120,6;F
480;89,46;31;122,85;M
481;82,09;29;119;M
482;85,68;32;123,75;M
483;81,37;38,2;135;M
484;87,75;36;124,6;F
485;84,07;41,1;138,5;M
486;82,72;30,8;119,1;M
487;82,26;40,3;135,15;M
488;82,29;35,5;121;F
489;86,07;38,5;130;M
490;82,32;38,4;130,5;M
491;85,22;39,3;121,7;M
492;79,56;46,1;128,85;M
493;90,05;18;123;F
494;100,08;17,1;114,1;M
495;91,63;23,8;136,4;F
496;92,22;18,3;119;F
497;97,81;18,9;120,45;F
498;98,83;18;116,9;F
499;91,63;20,5;124,75;F
500;96,26;22,5;128,15;M
501;99,02;25;134,45;M
502;98,2;23;129;M
503;97,51;22,7;127,85;M
504;90,74;21,5;126,5;F
505;94,95;22,5;127,25;M
506;99,88;21,1;124,2;F
507;90,67;18,8;116,45;M
508;98,33;21;122,5;M
509;95,54;19,8;120,35;F
510;100,31;22;126,1;F
511;97,55;18,9;117;F
512;100,01;23;128,7;F
513;99,32;25;133,95;F
514;101,52;23,6;129,55;F
515;92,52;23;127,25;M
516;96,46;24;131;F
517;95,8;28;141;F
518;92,15;26,8;137,95;F
519;90,61;22,8;127,15;F
520;99,85;28,3;140,4;F
521;91,53;25,2;133,3;F
522;92,15;18,2;113;F
523;92,75;23,2;127,55;F
524;96,43;28,6;139,9;M
525;93,83;23,1;125,75;M
526;93,21;27,9;139,35;F
527;97,15;28;138;M
528;94,19;20,2;118,35;F
529;91,76;18,6;112,75;M
530;90,97;21,8;123,15;F
531;93,24;24;127,4;M
532;96,23;20,3;117,6;F
533;101,52;23,1;124,6;F
534;90,67;23;124;M
535;99,42;23;123,1;M
536;97,15;26;131,05;M
537;92,12;23;124;F
538;101,46;24;125;M
539;93,9;22,4;121,35;M
540;98,27;27,7;134,25;M
541;94,06;26;131;F
542;98,63;22,5;120,9;M
543;92,94;18,7;110,6;M
544;97,18;26,3;130,6;M
545;92,94;22,7;122,15;F
546;96,39;24,6;126,25;M
547;93,7;25;127,5;M
548;97,55;20,2;114,5;F
549;92,19;29,8;139,6;F
550;97,81;26,7;131,5;F
551;101,13;24,2;124,65;F
552;90,21;22,4;121;F
553;92,28;22,5;121,05;F
554;93,4;25,4;127,8;M
555;90,18;23,8;123,65;M
556;97,25;21,3;116,35;M
557;96,72;22,5;119,6;M
558;101,39;27,1;130,8;F
559;96,1;25,9;128,45;F
560;97,64;27,1;131,25;F
561;94,59;20,1;113,1;M
562;97,55;23,9;122,95;M
563;90,38;23,6;122,65;F
564;93,04;19,6;111,25;M
565;100,21;27,1;130;F
566;92,48;24,3;123,9;M
567;100,21;31;139;F
568;98,3;27,9;132,05;F
569;100,14;23,8;121,75;M
570;98,04;23,8;121,95;F
571;97,12;26,4;128,4;F
572;98,07;28,8;133,85;F
573;98,47;26;127;M
574;94,55;23;119,85;F
575;96,1;21,6;115,85;M
576;98,04;25;124,2;F
577;94,78;25,9;126,9;M
578;99,25;24,7;123,25;F
579;101,75;30,2;136;M
580;90,77;25,9;127;F
581;101,59;26,8;127,5;F
582;94,32;26;126,6;M
583;91,23;21,6;115,5;F
584;92,09;23,7;120,9;M
585;96;25,3;124,6;M
586;100,08;26,9;127,9;M
587;97,71;25,5;124,65;M
588;93,73;23,5;119,65;F
589;97,78;22,3;116,35;M
590;99,32;27,3;128,5;M
591;99,25;24,5;121,6;M
592;99,45;32,5;139,35;F
593;97,74;25,2;122,95;F
594;101,03;30;133,5;F
595;90,38;27,5;129,5;M
596;101,16;29,8;133,5;M
597;92,28;25;123,2;M
598;91,17;30;135,05;M
599;99,72;27;127;M
600;95,8;30,6;135,2;F
601;100,47;29,2;131,9;M
602;100,34;34,6;143,5;M
603;99,78;27,1;126,15;F
604;95,08;32,5;139,35;M
605;97,84;27,2;127;M
606;98,37;28,5;129,05;F
607;98,53;29;130,85;M
608;92,15;27,6;128,35;M
609;92,09;28,4;129,5;F
610;98,04;30,6;134,1;M
611;100,77;28,4;128,85;M
612;100,27;30,8;133,3;F
613;100,96;28,6;129,25;M
614;100,01;29,3;129,9;F
615;100,21;30,3;131,95;F
616;93,7;26,5;124,4;F
617;99,52;27,9;127,5;M
618;92,35;24,8;120,35;F
619;98,24;25,4;121,7;M
620;99,88;27,7;125,6;F
621;91,66;28,8;130;M
622;97,61;29,8;131,45;M
623;90,71;27;125;F
624;93,44;24,2;118,65;M
625;99,06;33,2;138;M
626;94,19;27,8;125,95;F
627;93,57;26,9;124,9;M
628;96,3;31;133,25;M
629;101,59;31;132,3;M
630;94,68;31,8;133,5;F
631;97,05;25,3;119,55;M
632;94,59;27,1;124;M
633;93,44;30,6;131,8;M
634;100,73;29,2;127,7;M
635;93,67;34,8;140,3;M
636;96,56;32,2;134,5;M
637;96,92;29,5;127,1;F
638;99,02;31;128,9;F
639;99,12;32,1;131;F
640;92,25;28;124,5;M
641;90,61;30,9;129,5;F
642;94,49;30,4;128;M
643;92,91;29,9;125;F
644;99,19;30,9;127,5;M
645;94,52;34,7;136;M
646;101,92;38;138;F
647;91,36;32,2;131;M
648;91,89;30,8;125,75;F
649;98,99;31;124;F
650;94,42;31,4;128;M
651;100,83;33,1;127,2;F
652;93,24;33,2;131,15;M
653;99,02;37;136;M
654;95,87;34,7;129,55;F
655;101,46;36,6;130,95;F
656;91,33;36,5;136,1;M
657;90,35;30,2;123,9;M
658;96,89;35;128,5;F
659;91,46;34,1;130,5;M
660;99,25;39,2;138;M
661;94,26;36;129;F
662;98,37;32,8;125,35;M
663;95,51;31;118;F
664;93,63;34,2;124;F
665;96,33;40,8;138,6;M
666;92,38;34,2;124;F
667;99,32;42,3;140,15;M
668;100,44;46,7;145,5;M
669;99,12;39;128;F
670;95,67;43,7;136,05;F
671;101,75;43,3;136,1;M
672;91,3;38;130,45;M
673;98,37;38;127;M
674;101,85;41,5;131,55;M
675;96,39;42,3;134,6;M
676;96,53;40,3;131;M
677;92,19;29;112,15;M
678;91,86;47;139;M
679;98,04;48,4;138;M
680;97,91;46;132;M
681;91,04;49,4;136,4;M
682;99,22;52;135,8;M
683;91,13;47,7;131,95;M
684;102,12;21;132;F
685;104,15;21,5;132,1;F
686;102,77;20,5;126,2;M
687;105,21;16,3;111,95;M
688;109,81;21,5;128,6;F
689;105,4;21,5;129;F
690;110,2;24;134,25;F
691;105,47;20;123;F
692;109,58;22;128,2;F
693;106,06;22,2;129;F
694;108,79;24,1;132,55;M
695;111,29;25;136;F
696;108,59;24,5;135;F
697;106,16;21,6;126,6;F
698;107,77;19,5;118,75;M
699;113,26;25,5;134,65;M
700;109,91;28,5;142,75;M
701;112,18;23,9;130;M
702;106,03;25,1;133,6;M
703;104,02;20;119,15;M
704;111,12;25;133,3;F
705;109,78;25,5;133,4;M
706;110,47;23,5;128,85;F
707;102,41;24,5;131,2;M
708;102,74;24,4;132,15;F
709;113,23;27,1;137,5;F
710;113,16;22,9;125,45;M
711;111,48;29;142,2;F
712;108,85;25,2;132,75;F
713;106,42;24,7;130,25;M
714;109,02;29;141,65;F
715;103,69;23,3;127,45;F
716;110,47;25,7;132,8;F
717;104,58;23,7;127,2;M
718;111,42;24,3;128,55;F
719;107,34;23,8;127;M
720;111,88;27,9;137,5;F
721;102,05;24,5;129;M
722;109,97;23,4;126;F
723;104,91;24,1;128,45;F
724;107,11;27,5;136,05;M
725;103,79;23,9;128;F
726;103,4;26,9;134,75;M
727;112,41;27,8;136,45;F
728;109,94;29,5;141;F
729;108,92;24,6;128,3;M
730;110,89;27,2;134,5;M
731;105,17;21,5;120;M
732;107,01;23,8;126,35;F
733;105,47;23;124,45;F
734;105,17;26;131,55;M
735;103,99;23,8;126;M
736;109,71;25;128,5;M
737;103,92;27,5;136;F
738;102,97;29,3;140,5;F
739;107,8;26,5;132,75;F
740;109,64;25,1;128,4;M
741;112,93;27;132,65;M
742;109,22;26,2;131;M
743;110,89;27,8;135,1;F
744;105,73;28,7;138;F
745;109,05;23,4;124,05;F
746;110,83;27,7;134,5;M
747;109,91;26;130,5;F
748;107,93;27;132,9;M
749;111,52;22,5;120,95;F
750;109,05;23,3;123,25;F
751;113,06;33,3;146,35;F
752;109,41;26,4;130,55;M
753;109,61;22,4;120,3;F
754;107,67;29,2;137,4;F
755;106,42;26,5;130,65;M
756;104,91;24,1;125,05;F
757;102,94;22,4;120,45;M
758;105,37;30,2;139,5;M
759;102,31;24,8;127,05;F
760;108,66;25,5;127,85;F
761;111,58;31,7;142;F
762;104,91;28,3;135,25;F
763;103,89;28,2;135,1;F
764;112,27;26,8;130,4;M
765;104,25;23,9;123,85;M
766;104,28;22,6;120,5;F
767;102,05;25,5;127,85;F
768;110,14;25,4;126,5;M
769;112,73;23,8;122,05;M
770;108,76;29,7;136,5;M
771;113,42;29,4;135,1;M
772;107,21;24,7;124,5;M
773;113,03;30,1;136,5;M
774;106,85;23,3;120,5;F
775;104,94;27,2;130,55;M
776;112,27;23,3;119,45;F
777;110,04;27,2;129,25;F
778;103;23;120;F
779;107,54;26,2;127,5;M
780;105,21;26;127,05;M
781;104,68;26,9;129;F
782;104,52;29;134,05;M
783;111,12;25,4;124,15;F
784;103,46;28,7;133,4;M
785;113,29;28,7;131,35;F
786;108,82;31,5;138,45;F
787;107,38;27,1;128,9;M
788;107,54;29,1;133,1;F
789;103,13;29,2;134,15;M
790;113,75;26,7;126,95;M
791;104,19;25,5;125,1;M
792;109,48;28;129,9;F
793;106,16;29,8;134,9;M
794;102,48;29,3;133,95;F
795;107,41;33,6;142,5;F
796;106,52;27,5;129;F
797;109,91;28,8;131,5;F
798;102,61;29,5;134,5;M
799;105,76;25;123;F
800;105,21;28,8;132;F
801;103,82;28,3;131,5;M
802;104,35;32,6;140,5;F
