id;age;weight;height;sex
1851;220,83;66;168;F
1852;220,9;76;178;F
1853;221,72;59;155;F
1854;221,82;84;183;M
1855;218,5;71;169;F
1856;219,45;65;157;F
1857;221,59;73;165;F
1858;221,72;95;168;F
1859;225,04;38;169;F
1860;225,24;33;155;F
1861;228,49;48;178;F
1862;225,07;55;181;M
1863;227,8;51;178;F
1864;224,94;59;184;M
1865;224,45;53;179;F
1866;225,8;43;159;F
1867;223,5;48;168;F
1868;226,29;48;167;F
1869;228,1;50;170;F
1870;224,02;46;163;F
1871;225,3;51;171;F
1872;226,19;55;171;M
1873;227,57;47;162;F
1874;225,3;65;185;M
1875;226,39;63;181;M
1876;227,08;55;173;F
1877;222,05;46;158;F
1878;228,46;52;167;F
1879;225,21;46;157;F
1880;223,2;49;162;F
1881;226,92;48;160;F
1882;228,85;57;174;F
1883;222,9;59;177;F
1884;224,84;67;184;M
1885;226,49;51;164;F
1886;227,28;53;167;F
1887;227,21;50;162;F
1888;225,93;50;162;F
1889;228,26;50,5;162;F
1890;223,99;48;158;F
1891;226,49;52;164;F
1892;227,38;48;157,5;F
1893;227,74;49;159;F
1894;225,11;53;165;F
1895;224,35;53,5;165;F
1896;228,03;48;156;F
1897;227,31;62;177;F
1898;228,82;55;166;F
1899;225,93;57;169;F
1900;223,66;53;163;F
